age,gender,daily_social_media_time,social_platform_preference,stress_level,sleep_hours,days_feeling_burnout_per_month
51,Female,0.0,TikTok,7.0,8.0,11
27,Male,0.0,Instagram,4.0,5.72,6
53,Female,6.81,Twitter,10.0,7.21,10
48,Male,3.03,TikTok,10.0,3.0,18
65,Male,2.43,Telegram,9.0,7.93,29
32,Female,2.01,Facebook,2.0,5.6,23
25,Female,0.9,Twitter,8.0,6.07,3
31,Female,3.03,Twitter,7.0,7.87,24
40,Male,3.32,TikTok,1.0,6.5,21
57,Male,2.18,Telegram,5.0,7.28,11
38,Female,4.7,TikTok,9.0,5.62,13
33,Male,2.88,Facebook,6.0,4.7,0
35,Female,2.62,Facebook,3.0,8.11,30
64,Male,0.53,Telegram,1.0,5.93,1
41,Female,0.61,Instagram,5.0,7.02,5
43,Male,3.24,Instagram,10.0,6.5,16
42,Female,1.48,Instagram,7.0,5.26,1
62,Male,4.2,Facebook,7.0,6.81,25
58,Male,2.33,Telegram,8.0,6.32,13
46,Female,1.45,Instagram,10.0,7.66,27
32,Female,3.52,TikTok,6.0,7.06,31
62,Female,3.03,Instagram,7.0,5.79,11
18,Female,0.0,Facebook,4.0,5.41,18
42,Female,0.0,TikTok,8.0,7.66,12
24,Male,3.03,Telegram,9.0,5.4,2
26,Female,1.51,Telegram,4.0,5.34,21
41,Female,3.3,Facebook,6.0,6.91,16
18,Male,3.46,Instagram,8.0,5.14,16
61,Female,5.41,Telegram,6.0,7.28,23
25,Female,6.3,Twitter,6.0,7.08,25
41,Male,0.71,Instagram,4.0,3.99,27
28,Female,2.7,TikTok,8.0,7.95,5
34,Male,2.75,Facebook,3.0,7.24,28
25,Male,6.04,Facebook,1.0,7.78,22
52,Male,0.12,TikTok,7.0,9.39,20
52,Female,5.87,Instagram,9.0,8.48,14
50,Male,4.13,TikTok,3.0,6.61,23
22,Female,1.9,TikTok,3.0,6.99,5
59,Female,4.74,Twitter,4.0,7.68,11
56,Female,2.25,TikTok,7.0,7.96,21
58,Male,0.0,Facebook,8.0,6.5,0
45,Female,3.24,Telegram,7.0,3.6,18
24,Female,2.47,Instagram,3.0,6.53,12
26,Female,2.03,Telegram,10.0,5.87,30
25,Female,1.42,TikTok,6.0,7.64,0
29,Female,4.23,TikTok,4.0,6.84,17
51,Female,2.97,Twitter,8.0,6.5,1
50,Male,2.05,Facebook,3.0,7.74,1
65,Male,1.79,Instagram,6.0,6.5,12
40,Male,2.08,TikTok,2.0,5.72,7
41,Male,1.83,Facebook,9.0,6.12,15
54,Female,2.19,Telegram,9.0,7.25,2
52,Female,3.03,Instagram,2.0,6.5,7
61,Other,2.26,Instagram,10.0,6.26,14
57,Female,3.31,Twitter,7.0,6.86,9
39,Female,2.23,Facebook,3.0,4.66,5
52,Female,3.44,Telegram,7.0,8.06,5
18,Male,1.57,Telegram,3.0,5.24,2
52,Male,3.03,TikTok,1.0,7.54,17
54,Female,6.31,TikTok,5.0,5.84,28
64,Male,1.68,Telegram,8.0,7.26,1
31,Male,4.81,Facebook,9.0,5.19,3
20,Female,2.18,Facebook,5.0,5.48,3
18,Male,2.38,Telegram,5.0,3.62,26
22,Male,3.76,Telegram,6.0,6.66,27
43,Male,0.0,TikTok,6.0,4.97,16
31,Male,0.0,Telegram,9.0,8.52,29
56,Male,3.11,TikTok,4.0,6.66,26
26,Male,5.17,TikTok,3.0,6.49,19
32,Female,5.67,Twitter,5.0,6.5,6
32,Male,3.71,Facebook,8.0,3.52,6
43,Female,2.74,Telegram,6.0,5.78,21
59,Female,5.22,Twitter,3.0,5.75,9
30,Female,2.07,TikTok,1.0,6.75,13
49,Female,2.25,Twitter,7.0,6.18,15
56,Female,3.03,Twitter,2.0,4.72,2
49,Male,1.34,Facebook,6.0,6.87,26
21,Female,5.58,Instagram,8.0,9.03,27
47,Female,5.52,TikTok,5.0,7.57,27
40,Male,1.5,Telegram,9.0,6.88,17
56,Male,2.3,Instagram,2.0,7.55,6
62,Female,5.4,Instagram,10.0,6.29,18
32,Male,2.29,Twitter,5.0,7.07,8
60,Male,3.31,Instagram,1.0,5.11,13
46,Male,0.87,Instagram,5.0,7.84,19
53,Female,6.04,Twitter,7.0,7.65,8
30,Male,0.66,Facebook,5.0,7.26,21
49,Male,2.18,Telegram,6.0,6.59,25
24,Female,0.0,TikTok,8.0,6.5,8
39,Female,5.47,Facebook,5.0,5.52,2
45,Female,2.94,TikTok,3.0,8.69,5
19,Female,6.56,Twitter,8.0,6.5,16
59,Male,1.04,TikTok,6.0,7.59,11
62,Male,5.1,Facebook,2.0,5.83,16
23,Male,3.79,Telegram,3.0,4.49,20
45,Female,1.41,Facebook,3.0,3.54,0
45,Male,1.68,Instagram,2.0,7.59,14
61,Female,4.1,Instagram,4.0,7.45,21
61,Other,2.92,Facebook,4.0,5.64,20
37,Male,1.63,Instagram,6.0,6.5,7
47,Male,6.5,Facebook,4.0,6.45,1
28,Male,3.09,Facebook,6.0,5.92,21
45,Male,2.25,Telegram,7.0,6.5,13
42,Male,0.84,Telegram,2.0,5.8,20
56,Female,1.96,Telegram,4.0,6.5,9
50,Male,0.0,Instagram,2.0,6.26,6
44,Male,4.47,TikTok,5.0,5.64,29
30,Female,5.87,Facebook,7.0,7.46,20
58,Female,2.16,Facebook,10.0,8.3,21
20,Female,3.96,Telegram,4.0,7.59,7
56,Other,2.31,Instagram,6.0,3.99,4
23,Female,3.03,Telegram,4.0,6.26,16
25,Male,0.0,Instagram,2.0,7.5,14
44,Male,2.78,Instagram,1.0,8.09,26
26,Male,0.0,Facebook,5.0,8.85,19
54,Female,2.49,Instagram,4.0,4.43,31
50,Male,2.14,Instagram,9.0,7.82,20
59,Male,0.0,Facebook,8.0,5.3,31
61,Female,0.0,TikTok,8.0,5.52,9
41,Female,1.53,Facebook,9.0,5.93,19
32,Female,5.93,Instagram,1.0,5.84,10
49,Male,3.5,Instagram,8.0,7.53,5
49,Female,1.5,Instagram,3.0,7.17,8
41,Female,1.36,Instagram,8.0,6.94,28
58,Male,3.66,Instagram,8.0,5.3,12
29,Female,3.03,Facebook,10.0,5.48,21
56,Female,4.3,TikTok,8.0,6.98,4
19,Male,6.49,Facebook,8.0,7.21,5
20,Male,3.03,Facebook,9.0,4.97,17
54,Female,5.13,Telegram,6.0,7.36,11
34,Male,2.72,Instagram,9.0,6.19,12
19,Female,0.0,Instagram,8.0,6.5,12
19,Male,0.0,Twitter,2.0,7.22,5
45,Female,3.89,Instagram,2.0,6.07,18
40,Female,1.8,TikTok,6.0,4.5,0
54,Female,6.2,Facebook,7.0,7.24,17
49,Male,5.85,TikTok,2.0,6.5,24
50,Male,3.16,Twitter,5.0,6.49,26
18,Male,1.95,Instagram,7.0,5.98,13
19,Male,6.14,Telegram,9.0,5.74,0
61,Female,3.25,Telegram,6.0,4.58,10
43,Male,1.51,Twitter,8.0,6.49,26
49,Female,2.74,Twitter,3.0,6.79,3
23,Male,2.45,Instagram,7.0,7.18,4
49,Female,6.53,TikTok,3.0,6.5,22
21,Other,3.34,Instagram,4.0,4.18,8
34,Female,0.26,Facebook,9.0,3.07,0
41,Female,3.09,Telegram,9.0,6.3,3
22,Female,3.03,Telegram,2.0,7.69,20
51,Male,3.11,Facebook,3.0,4.0,13
23,Male,2.31,Instagram,9.0,8.36,16
28,Female,1.45,Telegram,6.0,7.07,22
65,Other,3.31,TikTok,2.0,5.56,31
33,Female,5.58,Facebook,6.0,4.66,26
50,Male,4.76,Telegram,4.0,4.85,22
26,Female,2.42,Telegram,1.0,8.94,27
23,Female,2.58,Telegram,3.0,5.59,30
33,Male,4.17,Instagram,6.0,5.37,3
46,Male,3.75,Facebook,2.0,10.0,28
20,Male,3.0,TikTok,8.0,6.83,14
37,Female,1.89,Telegram,10.0,5.46,2
53,Female,1.22,TikTok,4.0,6.75,21
36,Male,1.2,TikTok,5.0,5.04,3
43,Male,2.68,TikTok,2.0,7.14,30
20,Female,3.67,Facebook,8.0,6.38,29
36,Female,0.0,Facebook,8.0,5.68,18
37,Female,4.46,Facebook,10.0,6.84,23
49,Female,0.87,Twitter,2.0,5.76,6
24,Male,1.63,TikTok,5.0,6.07,15
58,Female,3.03,Twitter,9.0,4.68,23
50,Male,3.77,Instagram,7.0,3.96,16
57,Female,6.02,TikTok,3.0,6.99,1
56,Male,2.07,Telegram,6.0,4.34,21
35,Female,5.16,TikTok,2.0,5.21,7
57,Male,2.2,Facebook,10.0,6.6,7
28,Male,2.86,Instagram,10.0,6.5,2
45,Male,0.03,Facebook,10.0,8.08,30
42,Female,1.57,Facebook,10.0,6.05,4
48,Female,2.58,Telegram,7.0,7.93,31
47,Female,0.97,Instagram,5.0,4.8,28
59,Female,3.03,Twitter,5.0,7.63,13
52,Female,4.6,Telegram,5.0,8.85,31
24,Female,0.0,Twitter,1.0,8.63,12
33,Female,4.01,Facebook,7.0,7.85,11
43,Female,0.8,Facebook,7.0,9.05,2
65,Male,6.79,Twitter,4.0,4.55,22
19,Male,0.0,TikTok,2.0,4.72,13
18,Female,0.0,Instagram,2.0,7.6,2
65,Male,2.15,TikTok,6.0,7.29,17
29,Male,5.03,Facebook,10.0,4.62,30
22,Male,12.52,Twitter,3.0,7.93,16
54,Male,4.97,Telegram,10.0,6.26,5
49,Female,3.03,Facebook,8.0,4.45,3
26,Female,1.06,Facebook,10.0,4.93,5
58,Other,1.47,Telegram,2.0,6.5,22
52,Female,1.68,TikTok,7.0,3.98,17
36,Male,2.19,TikTok,7.0,7.5,25
65,Male,2.49,TikTok,4.0,3.66,0
33,Male,3.4,Facebook,7.0,4.44,5
20,Female,1.83,Instagram,9.0,6.38,8
37,Male,3.32,Twitter,4.0,7.41,6
41,Male,3.76,Twitter,3.0,5.74,2
50,Female,0.81,Instagram,8.0,7.08,14
41,Female,0.5,TikTok,10.0,6.93,18
28,Male,5.19,Twitter,8.0,5.24,22
25,Male,3.25,TikTok,2.0,6.49,3
53,Female,2.7,Facebook,4.0,6.8,12
55,Female,0.15,Instagram,5.0,4.64,20
57,Male,4.54,Twitter,7.0,6.5,8
37,Male,3.0,Facebook,4.0,5.3,14
52,Female,3.03,Instagram,4.0,6.5,7
65,Female,3.39,Facebook,8.0,4.12,19
42,Female,2.48,Facebook,9.0,8.64,4
52,Female,1.77,Telegram,3.0,6.23,7
42,Female,6.16,TikTok,7.0,5.5,3
46,Male,4.98,Twitter,8.0,5.94,5
35,Male,3.44,Facebook,5.0,6.4,13
63,Female,4.88,Facebook,8.0,6.5,29
35,Female,3.67,Facebook,8.0,6.87,17
52,Male,4.88,Telegram,2.0,7.38,26
33,Female,4.4,Twitter,9.0,8.04,21
58,Male,0.81,TikTok,3.0,6.46,7
53,Female,4.17,Telegram,10.0,6.06,24
50,Male,1.33,Instagram,6.0,7.12,27
21,Female,2.15,Telegram,2.0,8.15,20
31,Male,3.2,Instagram,6.0,4.66,8
38,Male,3.03,Telegram,7.0,6.52,26
65,Female,3.03,Twitter,8.0,6.43,7
37,Female,3.09,Instagram,6.0,6.25,26
25,Male,6.35,TikTok,5.0,5.44,21
24,Male,3.03,Twitter,3.0,5.15,20
20,Male,2.64,Facebook,5.0,6.73,26
34,Female,4.38,Twitter,10.0,5.12,26
50,Male,3.3,Facebook,4.0,7.3,25
65,Male,2.16,Twitter,5.0,5.25,16
39,Female,3.52,Telegram,2.0,8.33,9
39,Male,3.81,Twitter,1.0,7.05,2
63,Other,2.6,Twitter,8.0,5.84,18
47,Female,2.8,Telegram,4.0,6.77,12
55,Male,1.99,TikTok,10.0,6.3,6
62,Female,7.64,Twitter,1.0,6.89,3
25,Male,1.82,Facebook,10.0,5.32,10
44,Male,1.78,Facebook,10.0,7.52,0
44,Male,5.07,Facebook,2.0,4.81,16
51,Female,2.95,Telegram,10.0,8.01,28
38,Female,12.3,TikTok,2.0,8.7,11
50,Male,3.81,Facebook,8.0,6.38,8
64,Female,1.9,TikTok,8.0,7.8,10
50,Male,1.3,Twitter,9.0,6.86,12
22,Female,0.0,Telegram,1.0,5.18,5
65,Male,3.03,Twitter,6.0,9.17,5
36,Female,2.05,Telegram,10.0,7.11,27
21,Male,1.51,Facebook,7.0,7.86,5
52,Female,2.49,Instagram,8.0,4.84,15
34,Other,2.05,Twitter,9.0,6.72,1
45,Male,0.38,Twitter,7.0,9.74,1
47,Male,4.98,Instagram,1.0,8.18,30
46,Male,4.36,Instagram,4.0,6.32,4
63,Female,1.15,Telegram,2.0,6.91,3
23,Female,0.45,TikTok,8.0,6.17,0
52,Male,4.12,TikTok,5.0,6.43,1
58,Male,4.12,TikTok,1.0,7.43,31
54,Female,1.42,Instagram,6.0,6.66,19
41,Female,0.35,Telegram,7.0,6.88,30
46,Male,3.03,Facebook,1.0,6.28,18
63,Male,0.0,Telegram,1.0,9.07,9
48,Male,4.09,Facebook,5.0,6.24,26
52,Female,1.73,Instagram,2.0,4.82,8
50,Female,3.4,Twitter,9.0,6.21,12
38,Female,6.58,Facebook,3.0,5.06,21
49,Male,2.21,Twitter,1.0,4.97,13
40,Female,4.36,Twitter,6.0,7.61,27
50,Male,2.49,Telegram,9.0,7.07,16
20,Male,3.03,Telegram,9.0,5.81,31
35,Other,6.05,Facebook,9.0,6.87,20
42,Male,1.89,Twitter,10.0,8.0,0
59,Male,4.1,Instagram,7.0,7.41,1
48,Other,3.63,Telegram,9.0,7.63,8
20,Male,3.84,TikTok,2.0,7.66,19
57,Female,3.03,Instagram,3.0,3.81,1
63,Female,4.03,Instagram,9.0,4.41,8
41,Female,1.87,Facebook,7.0,6.5,2
49,Male,2.14,TikTok,10.0,5.15,13
64,Male,3.55,TikTok,8.0,7.7,19
39,Male,3.03,TikTok,5.0,3.84,4
40,Male,3.73,Telegram,9.0,7.65,0
19,Female,1.85,TikTok,3.0,3.78,15
59,Male,0.0,Facebook,10.0,8.64,13
19,Female,3.93,Telegram,8.0,6.02,8
43,Female,3.03,Twitter,2.0,8.9,26
34,Female,3.31,TikTok,10.0,6.84,3
57,Male,5.64,Telegram,1.0,7.33,2
50,Female,3.03,Facebook,2.0,7.32,12
26,Female,3.5,Twitter,7.0,6.95,10
60,Male,0.56,Instagram,4.0,4.92,7
65,Male,3.26,TikTok,1.0,3.55,23
56,Male,2.49,TikTok,4.0,5.89,5
46,Female,2.46,Facebook,2.0,3.52,15
59,Male,0.0,Telegram,7.0,4.33,2
43,Female,6.46,Telegram,8.0,4.05,5
52,Female,1.09,Twitter,5.0,7.51,27
42,Female,2.41,TikTok,6.0,9.46,12
41,Male,0.03,Facebook,8.0,8.61,12
30,Male,0.1,Telegram,4.0,5.08,5
53,Male,6.1,Telegram,3.0,7.9,27
62,Female,0.0,Instagram,10.0,7.72,5
37,Male,1.85,Instagram,6.0,5.95,16
18,Male,2.2,TikTok,7.0,6.5,12
25,Male,1.52,TikTok,2.0,6.13,15
33,Female,2.14,Twitter,2.0,4.61,25
31,Female,0.52,Facebook,5.0,7.78,11
29,Female,4.86,Twitter,7.0,5.5,15
40,Male,6.11,Instagram,2.0,5.58,5
45,Female,0.0,Instagram,7.0,6.16,24
51,Male,0.0,Telegram,7.0,8.37,16
19,Male,0.0,Instagram,5.0,5.15,0
49,Female,4.08,Instagram,8.0,5.79,10
40,Female,3.03,Telegram,2.0,4.65,17
39,Female,7.79,TikTok,6.0,7.15,23
42,Male,3.03,Facebook,7.0,5.73,5
39,Male,5.14,Telegram,9.0,8.41,13
39,Female,5.17,Twitter,1.0,6.39,6
59,Female,1.0,Instagram,3.0,5.23,29
23,Female,1.32,Facebook,5.0,5.84,17
32,Female,6.09,Telegram,1.0,6.01,28
60,Male,0.0,Telegram,5.0,6.99,31
54,Female,2.68,Facebook,10.0,7.44,26
50,Female,4.39,Facebook,2.0,4.37,17
25,Female,3.95,Facebook,5.0,4.55,0
61,Male,2.21,Twitter,6.0,6.46,19
61,Male,2.12,Instagram,6.0,6.41,28
22,Female,0.48,Telegram,1.0,6.43,27
56,Female,1.16,Telegram,10.0,9.01,16
21,Female,6.26,Facebook,6.0,3.41,12
23,Female,3.41,Facebook,8.0,7.21,24
62,Female,1.77,Facebook,2.0,6.68,5
49,Female,4.24,Instagram,9.0,6.1,4
47,Male,2.08,TikTok,1.0,8.31,11
64,Male,3.03,Twitter,9.0,5.5,18
52,Male,1.83,Twitter,10.0,4.84,15
57,Female,0.17,Telegram,6.0,7.22,8
33,Male,6.19,TikTok,10.0,7.5,25
30,Male,4.25,Instagram,2.0,6.5,12
59,Female,4.24,Twitter,6.0,4.32,6
47,Female,1.92,Facebook,3.0,5.4,6
36,Female,2.88,Facebook,7.0,4.96,1
34,Male,2.01,Telegram,7.0,7.54,5
36,Female,0.17,Twitter,9.0,5.29,22
45,Male,4.8,Twitter,4.0,6.5,15
43,Male,4.59,Twitter,6.0,5.41,4
54,Male,3.8,Telegram,10.0,5.81,28
43,Male,3.05,Telegram,3.0,3.08,24
40,Male,1.23,Telegram,9.0,7.14,21
26,Female,3.67,Instagram,8.0,6.71,31
29,Male,1.05,Telegram,8.0,7.29,8
18,Female,1.33,Twitter,2.0,7.39,7
18,Male,1.07,Twitter,1.0,8.31,24
64,Male,1.69,Instagram,8.0,6.5,15
51,Female,1.5,Facebook,4.0,8.8,26
49,Female,4.46,Twitter,4.0,7.41,20
65,Female,0.97,Facebook,8.0,6.5,11
42,Other,2.97,Telegram,2.0,8.0,5
57,Female,4.21,Facebook,7.0,5.43,25
62,Female,3.03,Twitter,9.0,6.27,31
18,Female,3.77,Instagram,2.0,6.23,18
33,Female,0.0,TikTok,8.0,8.45,12
56,Male,2.54,Facebook,1.0,4.85,9
22,Female,4.43,Facebook,4.0,7.64,12
39,Male,1.03,TikTok,4.0,6.89,18
46,Male,5.66,Facebook,3.0,5.92,4
20,Female,5.61,Facebook,4.0,9.85,29
29,Male,4.01,Facebook,7.0,5.94,14
43,Male,4.91,Telegram,1.0,6.9,6
33,Male,5.42,Telegram,5.0,5.52,5
39,Male,4.76,TikTok,7.0,7.31,8
46,Male,0.69,Facebook,4.0,3.77,17
31,Female,4.45,Facebook,6.0,5.17,22
45,Female,3.79,TikTok,3.0,6.75,26
22,Male,7.99,Twitter,1.0,7.29,7
64,Male,3.03,Telegram,9.0,4.57,0
47,Male,5.55,TikTok,2.0,5.42,13
63,Male,4.9,Instagram,5.0,6.5,1
22,Male,2.79,Facebook,7.0,5.68,27
29,Male,3.03,Facebook,10.0,4.95,7
33,Female,2.2,Instagram,10.0,10.0,21
43,Female,2.78,Twitter,9.0,6.5,25
43,Female,4.91,TikTok,1.0,7.92,13
65,Male,3.56,Twitter,4.0,7.54,25
38,Male,3.07,Instagram,2.0,6.69,14
53,Male,3.03,Facebook,3.0,4.49,22
50,Female,4.94,Instagram,9.0,6.1,22
47,Female,1.3,Instagram,2.0,5.81,19
54,Female,4.94,Instagram,10.0,6.32,14
40,Male,5.6,Twitter,6.0,6.65,12
27,Male,8.34,Facebook,1.0,6.17,21
22,Female,3.99,Telegram,2.0,4.75,5
53,Female,5.18,TikTok,9.0,7.84,12
51,Male,3.92,Facebook,6.0,6.22,3
48,Other,4.27,Telegram,3.0,7.01,2
27,Male,5.18,Instagram,7.0,6.27,8
49,Female,3.59,Facebook,4.0,4.95,28
18,Female,3.65,TikTok,3.0,6.56,28
22,Other,1.79,Twitter,3.0,8.1,8
62,Male,3.03,TikTok,2.0,5.26,29
21,Male,2.07,Facebook,6.0,3.74,15
33,Female,3.03,Instagram,7.0,7.67,13
41,Male,2.58,Instagram,2.0,7.07,22
33,Male,3.57,TikTok,9.0,6.5,18
19,Female,1.14,Facebook,10.0,7.52,25
45,Male,3.31,Instagram,1.0,6.5,29
49,Female,3.69,TikTok,8.0,4.91,3
44,Male,0.48,Facebook,10.0,8.49,3
37,Female,0.26,Instagram,4.0,4.44,31
41,Female,4.6,Twitter,2.0,3.77,11
29,Male,3.26,Telegram,6.0,6.03,17
52,Male,0.96,TikTok,8.0,6.5,20
50,Male,2.17,Facebook,5.0,6.5,13
50,Male,3.95,Facebook,1.0,6.38,20
60,Female,1.16,Instagram,6.0,7.54,19
54,Other,6.09,Twitter,2.0,8.2,29
29,Female,4.12,TikTok,7.0,7.0,1
20,Female,4.66,Telegram,9.0,6.5,5
18,Male,3.34,Instagram,5.0,6.33,3
50,Male,4.22,TikTok,9.0,6.5,15
57,Female,7.23,TikTok,5.0,7.42,28
27,Other,2.12,TikTok,2.0,3.81,0
60,Female,2.23,Facebook,7.0,7.18,29
61,Male,7.21,Twitter,7.0,6.33,17
46,Female,5.6,Facebook,6.0,5.26,21
30,Male,3.03,Instagram,9.0,4.08,14
29,Female,1.43,Telegram,1.0,4.06,6
63,Male,7.07,Instagram,5.0,5.48,16
19,Other,3.18,Twitter,1.0,8.45,26
52,Other,5.11,Facebook,10.0,6.5,14
40,Female,3.48,Twitter,2.0,7.19,6
34,Female,3.64,Twitter,1.0,5.37,22
43,Male,4.19,Instagram,4.0,6.5,1
25,Female,3.03,Instagram,8.0,8.5,31
46,Male,2.49,Instagram,9.0,9.16,20
43,Male,6.16,Twitter,4.0,7.85,7
27,Male,2.57,TikTok,4.0,7.67,17
43,Female,4.05,Instagram,3.0,4.65,27
51,Male,5.15,Facebook,4.0,7.44,14
58,Male,4.14,Instagram,10.0,5.78,17
24,Male,4.52,Facebook,8.0,6.51,11
21,Female,0.0,Instagram,1.0,6.5,14
62,Female,3.47,Instagram,8.0,6.71,12
28,Male,5.58,Telegram,2.0,9.71,0
46,Other,7.51,TikTok,8.0,5.37,25
53,Male,3.03,Twitter,4.0,6.0,2
42,Female,3.52,Facebook,6.0,5.2,7
38,Female,4.18,TikTok,1.0,6.19,7
53,Female,4.46,Telegram,6.0,6.5,1
27,Male,0.0,Telegram,7.0,8.5,22
54,Female,0.69,Instagram,1.0,7.06,10
26,Female,3.29,Facebook,7.0,6.1,19
41,Female,2.84,TikTok,9.0,5.85,1
52,Female,2.25,Facebook,4.0,6.5,24
52,Male,3.78,Facebook,5.0,7.92,30
65,Female,4.01,Twitter,4.0,7.5,31
53,Male,0.0,Instagram,4.0,6.33,24
35,Female,0.25,Telegram,1.0,8.25,16
49,Female,4.13,Telegram,6.0,4.92,29
41,Male,2.59,TikTok,2.0,6.5,0
40,Male,1.92,Twitter,1.0,6.98,6
49,Male,5.86,Telegram,3.0,6.5,7
54,Male,4.33,Facebook,10.0,7.59,19
29,Female,3.03,Facebook,1.0,4.83,1
30,Female,6.61,Instagram,4.0,6.41,20
40,Female,3.2,Telegram,1.0,6.15,29
42,Female,4.91,Twitter,5.0,6.5,14
52,Female,1.08,TikTok,9.0,6.77,1
58,Male,0.2,Facebook,10.0,7.29,3
47,Male,1.39,Twitter,5.0,5.42,12
34,Male,4.07,Instagram,4.0,9.26,27
37,Female,2.74,Instagram,4.0,7.47,4
65,Male,2.66,TikTok,10.0,6.84,8
42,Male,3.47,Facebook,10.0,8.34,3
39,Female,3.3,Telegram,8.0,7.35,8
30,Female,5.46,Telegram,2.0,5.25,24
36,Female,3.03,Facebook,8.0,8.46,14
53,Female,0.16,TikTok,3.0,8.28,16
29,Female,6.27,TikTok,3.0,6.9,7
58,Female,2.07,Instagram,8.0,7.44,4
36,Female,5.41,Telegram,7.0,6.96,3
29,Female,3.81,Instagram,3.0,6.42,11
26,Male,5.94,Telegram,9.0,9.01,20
24,Male,1.76,Twitter,4.0,4.04,24
45,Male,4.74,Twitter,9.0,5.49,7
31,Male,3.03,TikTok,5.0,5.59,14
48,Female,1.66,Telegram,4.0,5.21,23
36,Male,6.36,TikTok,4.0,6.5,18
64,Male,1.51,Instagram,6.0,7.56,24
22,Female,0.76,Instagram,3.0,3.92,16
52,Female,3.03,Instagram,10.0,8.14,12
29,Female,3.32,Twitter,10.0,6.67,23
42,Female,2.67,TikTok,6.0,7.2,6
38,Female,3.78,Telegram,1.0,6.5,4
53,Male,0.0,Telegram,4.0,6.56,28
40,Male,2.92,TikTok,6.0,5.58,11
33,Male,0.15,TikTok,1.0,6.36,28
56,Female,2.12,TikTok,6.0,5.28,28
62,Other,2.52,TikTok,4.0,6.3,30
59,Other,2.94,Instagram,3.0,6.69,2
56,Female,3.03,Facebook,6.0,7.15,18
31,Male,0.48,Telegram,2.0,6.8,1
48,Other,2.1,Telegram,1.0,6.5,4
22,Female,7.57,Telegram,8.0,7.12,23
52,Male,2.84,Telegram,4.0,5.11,5
40,Female,2.61,Twitter,2.0,5.56,15
46,Male,3.03,Twitter,4.0,8.17,21
60,Male,3.33,TikTok,5.0,7.05,23
28,Female,3.03,TikTok,8.0,4.59,23
35,Female,3.03,Twitter,7.0,5.17,10
64,Male,3.88,Instagram,5.0,9.11,17
